7.142909833397333: nyx
20.925: sex
8.699890470974807: bomb
4.0700636942675175: pallete
4.162691991801321: natural
4.105145413870247: palette
5.348041997729851: etude
5.356205302631064: house
4.461540568534453: precious
4.085438867241681: mineral
3.4895236755083374: any
3.7448345596206387: cushion
8.633688464695854: pearl
4.242730325089248: aura
5.628196498385179: puff
4.38115863562534: milani
5.730752323643795: rose
3.341328101833515: powder
2.421649054816889: blush
6.427500496931771: baby
15.972340291383984: sweet
5.193412563667234: sugar
3.146952979791987: bedak
4.010141987829616: revlon
8.442126901537488: color
3.7081349750810944: stay
5.512342736879891: aqua
4.438006763107115: make
6.341684055246642: up
4.557827874274917: dr
4.463832115661212: pure
4.241625310173696: whitening
5.588031988979086: cream
3.3986223139083656: chanel
2.833333333333332: malice
4.438457115396901: snail
8.676461910149253: white
12.911410156784534: original
11.667039367064056: 100
4.333333333333332: sunprise
5.099764398311386: all
8.431078412157579: proof
4.04685713795282: spf
4.934313415275906: 50
3.8580858085808565: eyebrow
7.073911389340434: satuan
16.56516290726817: rp
14.692307692307692: 15.000
34.44080386415396: pc
 8.0: monistat
7.8196721311475414: chafing
6.973333333333333: relief
5.464727378463714: gel
4.888344268925248: tea
5.594933337742944: the
8.033831990794017: balm
11.069037656903767: meet
8.973253243486322: matte
2.428571428571427: trimony
4.416919133069214: laneige
6.749046768920021: water
5.604569818009534: base
4.707925629206649: cc
4.657142857142858: spf36
4.197464826037347: pa
4.41614906832298: giordani
31.438585537027876: gold
4.505325402863267: age
1.9668508287292816: defying
3.2679575549306428: compact
2.019146973295417: foundation
21.7102765751694: dengan
4.29999327694663: 15
4.325960095646661: perfect
6.7573017984022385: cover
5.099361400925762: body
4.371715087405288: shop
3.692447582370562: refill
4.573604060913706: moisture
4.269598470363288: lancome
2.3432835820895512: subtil
21.531345782023628: long
5.998389287532284: lasting
2.4664561957379654: blusher
5.560221418301175: colour
5.7256882003043295: veil
1.5789473684210513: buildable
 2.0: intensity
4.15571136430032: missha
19.607849685006784: line
3.8261003550612998: friends
3.566989278980099: magic
35.5296419107975: 2
 1.0: refills
4.648750092990646: elf
3.948468365302034: acne
1.3917525773195862: fighting
3.3069977880674273: beige
21.373171895603726: biru
5.880108149474594: city
6.210465701312163: concealer
6.549790092359363: contour
6.2895817690712725: pink
4.816326530612244: vital
12.262359815227274: special
4.4310954063604235: trial
7.298559935192092: kit
5.171074372455802: isi
32.59813398763238: 4
3.4404145077720223: spf34
4.058441558441558: 15gram
5.137683861462122: over
4.266337854500616: cleansing
4.39137842771834: bb
4.156752411575564: 20ml
4.488533143854031: cr
16.374327067957793: sale
32.31381874320862: plus
21.595486905015722: premium
4.45945945945946: hadalabo
4.288888888888888: gokujyun
30.712184577792396: alpha
8.166437026366882: ultimate
7.535689547369806: anti
4.389838129496404: aging
4.406902815622161: lotion
4.8106300198892455: 100ml
8.530075187969924: tony
8.318840579710145: moly
5.16: backstage
4.595348837209304: eyeliner
3.5792469093528254: hera
4.690194900156435: wardah
4.495207667731631: renew
5.581981226952731: you
27.691886043995673: disc
18.523821690950363: 10
3.9428824686296764: shiseido
2.6923076923076934: majolica
2.6923076923076934: majorca
6.110070565327316: nude
2.333333333333332: makes
4.137408861469435: spf50
3.6988772772207312: shu
3.7404255319148945: uemura
5.009733250683777: light
1.8523439458510893: bulb
3.8988764044943807: sarange
3.3846153846153832: bogosipo
3.2403170061007707: pact
21.21146000100265: deep
2.958333333333332: 13g
13.836244514654805: free
4.44145082204037: mask
20.604278917121164: 2pcs
5.153932287263558: sample
4.14913665955104: 30
5.148524032032675: eye
6.3549166946680415: shadow
3.686261065826212: 2in1
21.22803914507827: muslimah
32.93731343283582: bu
5.993670500882477: sophie
4.617621725381142: paris
 4.5: nature24
4.796816581240737: spot
4.3483536051670555: solution
2.633412136285852: luminous
5.647649633242747: liquid
4.740770162930051: in
13.725793897076809: of
4.183828794372317: your
5.411686154447448: hand
4.677052953594956: glowing
4.505333333333333: complexion
 8.0: ilumination
3.759349637194301: extra
